
,"LISTA DE PRECIOS DELTRON"

,"Generada el :"2025-03-17 04:20:38
,"Almacen(es) :,'HUANCAYO'"
,"Almacen(es) :"
,"TIPO DE CAMBIO :3.660"
,"__________________________________"


"_______________","_______________","__________________________________","__________"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU CI3 12XXX S1700","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu ci3 12xxx s1700","cpili312100","procesador intel core i3-12100 3.3 / 4.3ghz 12mb intel smart caché, lga1700, intel 7(",2,108.44, ,"","W","intel corp"
"cpu ci3 12xxx s1700","cpili312100f","procesador intel core i3-12100f, 3.30/4.30ghz, 12mb smartcaché, lga1700, intel 7(10nm",13,75.88, ,"","W","intel corp"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU CI3 13XXX S1700","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu ci3 13xxx s1700","cpili313100","procesador intel core i3-13100 3.40/4.50ghz 12mb smartcache lga1700, 60w, intel 7(10n",1,114.07, ,"","W","intel corp"
"cpu ci3 13xxx s1700","cpili313100f","procesador intel core i3-13100f 3.40/4.50ghz 12mbsmartcache lga1700, 58w, intel 7(10n",1,75.88, ,"","W","intel corp"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU CI3 14XXX S1700","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu ci3 14xxx s1700","cpili314100f","procesador intel core i3-14100f 3.50/4.70ghz, 12 mb intel smart caché, lga1700, 58w/1",5,81.91, ,"","W","intel corp"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU CI5 10XXX S1200","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu ci5 10xxx s1200","cpili510400","procesador intel core i5-10400, 2.90 ghz, 12 mb caché l3, lga1200, 65w, 14 nm.[@@@]vi",1,124.52, ,"","W","intel corp"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU CI5 11XXX S1200","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu ci5 11xxx s1200","cpili511400f","procesador intel core i5-11400f 2.60 / 4.40 ghz, 12 mb caché l3, lga1200, 65w, 14 nm.",1,111.45, ,"","W","intel corp"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU CI5 12XXX S1700","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu ci5 12xxx s1700","cpili512400f","procesador intel core i5-12400f, 2.50/4.40ghz, 18mb caché l3, lga1700, 117w, intel 7(",>20,109.44, ,"","W","intel corp"
"cpu ci5 12xxx s1700","cpili512600k","procesador intel core i5-12600k 3.70 / 4.90ghz, 20mb caché l3, lga1700, 125w, 10 nm.[",1,187.83, ,"","W","intel corp"
"cpu ci5 12xxx s1700","cpili512600kf","procesador intel core i5-12600kf 3.70 / 4.90ghz, 20mb caché l3, lga1700, 125w, 10 nm.",4,162.31, ,"","W","intel corp"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU CI7 12XXX S1700","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu ci7 12xxx s1700","cpili712700","procesador intel core i7-12700 2.10/4.90ghz, 25mbsmartcaché, lga1700, 65w, intel 7(10",>20,282.91, ,"","W","intel corp"
"cpu ci7 12xxx s1700","cpili712700f","procesador intel core i7-12700f, 2.10 / 4.90ghz, 25mb smartcaché, lga1700, intel 7(10",>20,247.13, ,"","W","intel corp"
"cpu ci7 12xxx s1700","cpili712700k","procesador intel core i7-12700k 3.60 / 5.00ghz, 25mb caché l3, lga1700, 125w, 10 nm.[",13,282.41, ,"","W","intel corp"
"cpu ci7 12xxx s1700","cpili712700kf","procesador intel core i7-12700kf 3.60 / 5.00ghz, 25mb caché l3, lga1700, 125w, 10 nm.",1,259.19, ,"","W","intel corp"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU CI7 13XXX S1700","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu ci7 13xxx s1700","cpili713700f","procesador intel core i7-13700f 2.10/5.20ghz 30mbsmartcaché lga1700, 65w, intel 7(10n",7,300.50, ,"","W","intel corp"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU CI9 12XXX S1700","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu ci9 12xxx s1700","cpili912900k","procesador intel core i9-12900k 3.20 / 5.10ghz, 30mb caché l3, lga1700, 125w, 10 nm.[",1,387.93, ,"","W","intel corp"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU CI9 14XXX S1700","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu ci9 14xxx s1700","cpili914900k","procesador intel core i9-14900k 3.20/6.00ghz, 36 mb intel smart caché, lga1700, 125w/",3,486.42, ,"","W","intel corp"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU CU5 2XX S1851","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu cu5 2xx s1851","cpilu5245k","procesador intel core ultra 5 245k 4.20/5.20ghz, 24 mb intel smart caché, lga1851[@@@",3,313.56, ,"","W","intel corp"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU CU7 2XX S1851","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu cu7 2xx s1851","cpilu7265kf","procesador intel core ultra 7 265kf 3.90/5.50ghz,30 mb intel smart caché, lga1851[@@@",2,340.70, ,"","P","intel corp"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","DISCO DURO 3.5 SATA","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"disco duro 3.5 sata","hdist1000dm014","disco duro seagate barracuda st1000dm014, 1tb, sata 6.0 gbps, 7200rpm, 256mb cache, 3",14,52.76, ,"","D","seagate"
"disco duro 3.5 sata","hditon300p4tba","disco duro toshiba nas n300 pro, 4tb sata 6.0gb/s, 7200rpm, 512mb cache, 3.5.[@@@]",1,119.09, ,"","S","toshiba - storage"
"disco duro 3.5 sata","hditos3002tb","disco duro toshiba surveillance s300, 2tb sata 6.0gb/s, 5400rpm, 128mb cache, 3.5.[@",15,48.94, ,"","P","toshiba - storage"
"disco duro 3.5 sata","hdiwd11purz","disco duro western digital wd purple, 1tb, sata 6.0 gb/s, 5400 rpm, 64mb cache, 3.5.",>20,49.85, ,"","P","western digital"
"disco duro 3.5 sata","hdiwd23purz","disco duro western digital wd purple, 2tb, sata 6.0 gb/s, 64mb cache, 5400 rpm, 3.5.",19,58.79, ,"","P","western digital"
"disco duro 3.5 sata","hdiwd40efpx","disco duro western digital red plus wd40efpx, 4tb, sata, 5400rpm, 3.5, cache 256mb[@",1,89.95, ,"","P","western digital"
"disco duro 3.5 sata","hdiwd43purz","disco duro western digital wd purple, 4tb, sata 6.0 gb/s, 256mb cache, 5400 rpm, 3.5",19,84.32, ,"","P","western digital"
"disco duro 3.5 sata","hdiwd85purz","disco duro western digital wd purple, 8tb, sata 6.0 gb/s, 256mb cache, 5640 rpm, 3.5",2,199.49, ,"","P","western digital"
"disco duro 3.5 sata","hdtowg740xzstc","disco duro toshiba n300 nas, 4tb, sata 6.0gb/s, 7200rpm, 512mb cache, 3.5.[@@@]",6,89.95, ,"","P","toshiba - storage"
"disco duro 3.5 sata","hdtowg780xzsta","disco duro toshiba n300 nas, 8tb, sata 6.0gb/s, 7200rpm, 512mb cache, 3.5.[@@@]",4,154.27, ,"","P","toshiba - storage"
"disco duro 3.5 sata","hdtowt840uzsva","disco duro toshiba surveillance s300, 4tb sata 6.0gb/s, 5400rpm, 256mb cache, 3.5.[@",3,76.88, ,"","P","toshiba - storage"
"_______________","_______________","__________________________________","__________"
